Ball State,Indiana,62,+16.5,09/09/2016,2016-09-10 00:00:14.034486
Tex San Antonio,Colorado State,53,+9.5,09/09/2016,2016-09-10 00:00:14.034486
Middle Tennessee State,Vanderbilt,47,+3.5,09/09/2016,2016-09-10 00:00:14.034486
Idaho,Washington,61,+38,09/09/2016,2016-09-10 00:00:14.034486
Florida Atlantic,Miami Florida,63,+25,09/09/2016,2016-09-10 00:00:14.034486
Arkansas,TCU,58,+7,09/09/2016,2016-09-10 00:00:14.034486
UL - Monroe,Oklahoma,65.5,+45.5,09/09/2016,2016-09-10 00:00:14.034486
Northern Illinois,South Florida,57.5,+15.5,09/09/2016,2016-09-10 00:00:14.034486
UTEP,Texas,59,+30,09/09/2016,2016-09-10 00:00:14.034486
South Carolina,Mississippi State,46.5,+7.5,09/09/2016,2016-09-10 00:00:14.034486
Georgia Southern,South Alabama,58,-13.5,09/09/2016,2016-09-10 00:00:14.034486
Eastern Michigan,Missouri,57.5,+24,09/09/2016,2016-09-10 00:00:14.034486
Arkansas State,Auburn,54,+20,09/09/2016,2016-09-10 00:00:14.034486
Iowa State,Iowa,51.5,+15.5,09/09/2016,2016-09-10 00:00:14.034486
North Carolina,Illinois,58.5,-7,09/09/2016,2016-09-10 00:00:14.034486
BYU,Utah,45,+3.5,09/09/2016,2016-09-10 00:00:14.034486
Virginia Tech,Tennessee,53.5,+12,09/09/2016,2016-09-10 00:00:14.034486
New Mexico,New Mexico State,61,-13,09/09/2016,2016-09-10 00:00:14.034486
UNLV,UCLA,58.5,+26.5,09/09/2016,2016-09-10 00:00:14.034486
Texas Tech,Arizona State,80,+1.5,09/09/2016,2016-09-10 00:00:14.034486
Washington State,Boise State,74.5,+10,09/09/2016,2016-09-10 00:00:14.034486
Virginia,Oregon,70.5,+24,09/09/2016,2016-09-10 00:00:14.034486
California,San Diego State,61,+7,09/09/2016,2016-09-10 00:00:14.034486
Rice,Army,51.5,+8.5,09/10/2016,2016-09-10 12:00:25.247341
Central Florida,Michigan,55,+37,09/10/2016,2016-09-10 12:00:25.247341
Penn State,Pittsburgh,44.5,+3.5,09/10/2016,2016-09-10 12:00:25.247341
Cincinnati,Purdue,60,-3.5,09/10/2016,2016-09-10 12:00:25.247341
Central Michigan,Oklahoma State,60,+18,09/10/2016,2016-09-10 12:00:25.247341
NC State,East Carolina,59,-6.5,09/10/2016,2016-09-10 12:00:25.247341
Wyoming,Nebraska,57,+25,09/10/2016,2016-09-10 12:00:25.247341
Troy,Clemson,63.5,+35,09/10/2016,2016-09-10 12:00:25.247341
Georgia State,Air Force,52.5,+21.5,09/10/2016,2016-09-10 12:00:25.247341
Utah State,USC,57,+17,09/10/2016,2016-09-10 12:00:25.247341
Ohio,Kansas,60,+2.5,09/10/2016,2016-09-10 12:00:25.247341
Old Dominion,Appalachian State,54.5,+21,09/10/2016,2016-09-10 12:00:25.247341
Akron,Wisconsin,46,+22.5,09/10/2016,2016-09-10 12:00:25.247341
Tulsa,Ohio State,74,+29,09/10/2016,2016-09-10 12:00:25.247341
Wake Forest,Duke,44,+7,09/10/2016,2016-09-10 12:00:25.247341
Connecticut,Navy,43,+5.5,09/10/2016,2016-09-10 12:00:25.247341
Kentucky,Florida,49.5,+14,09/10/2016,2016-09-10 12:00:25.247341
Nevada,Notre Dame,62.5,+28.5,09/10/2016,2016-09-10 12:00:25.247341
Western Kentucky,Alabama,62.5,+28,09/10/2016,2016-09-10 12:00:25.247341
SMU,Baylor,75.5,+32,09/10/2016,2016-09-10 12:00:25.247341
Ball State,Indiana,62,+16.5,09/10/2016,2016-09-10 12:00:25.247341
Tex San Antonio,Colorado State,53,+8,09/10/2016,2016-09-10 12:00:25.247341
Middle Tennessee State,Vanderbilt,47,+3,09/10/2016,2016-09-10 12:00:25.247341
Idaho,Washington,61,+38,09/10/2016,2016-09-10 12:00:25.247341
Florida Atlantic,Miami Florida,62.5,+25.5,09/10/2016,2016-09-10 12:00:25.247341
Arkansas,TCU,58,+8.5,09/10/2016,2016-09-10 12:00:25.247341
UL - Monroe,Oklahoma,65.5,+45.5,09/10/2016,2016-09-10 12:00:25.247341
Northern Illinois,South Florida,57.5,+14.5,09/10/2016,2016-09-10 12:00:25.247341
UTEP,Texas,58,+31,09/10/2016,2016-09-10 12:00:25.247341
South Carolina,Mississippi State,48,+7.5,09/10/2016,2016-09-10 12:00:25.247341
Georgia Southern,South Alabama,58,-13.5,09/10/2016,2016-09-10 12:00:25.247341
Eastern Michigan,Missouri,58,+23,09/10/2016,2016-09-10 12:00:25.247341
Arkansas State,Auburn,54,+20,09/10/2016,2016-09-10 12:00:25.247341
Iowa State,Iowa,51.5,+15.5,09/10/2016,2016-09-10 12:00:25.247341
North Carolina,Illinois,59,-7,09/10/2016,2016-09-10 12:00:25.247341
BYU,Utah,44.5,+3,09/10/2016,2016-09-10 12:00:25.247341
Virginia Tech,Tennessee,53.5,+11.5,09/10/2016,2016-09-10 12:00:25.247341
New Mexico,New Mexico State,61,-13,09/10/2016,2016-09-10 12:00:25.247341
UNLV,UCLA,58.5,+26.5,09/10/2016,2016-09-10 12:00:25.247341
Texas Tech,Arizona State,80,+1,09/10/2016,2016-09-10 12:00:25.247341
Washington State,Boise State,74.5,+12,09/10/2016,2016-09-10 12:00:25.247341
Virginia,Oregon,71,+23.5,09/10/2016,2016-09-10 12:00:25.247341
California,San Diego State,60,+7,09/10/2016,2016-09-10 12:00:25.247341
Middle Tennessee State,Vanderbilt,47.5,+3,09/10/2016,2016-09-10 12:06:07.309193
Middle Tennessee State,Vanderbilt,48,+3,09/10/2016,2016-09-10 12:12:11.023657
Western Kentucky,Alabama,62,+28,09/10/2016,2016-09-10 12:18:14.394593
Florida Atlantic,Miami Florida,63,+25.5,09/10/2016,2016-09-10 12:24:22.255845
New Mexico,New Mexico State,61,-14,09/10/2016,2016-09-10 12:24:22.255845
Troy,Clemson,63.5,+35.5,09/10/2016,2016-09-10 12:30:21.693848
Ohio,Kansas,60,+3,09/10/2016,2016-09-10 12:30:21.693848
Florida Atlantic,Miami Florida,63,+26,09/10/2016,2016-09-10 12:30:21.693848
